Student,ID,SIS User ID,SIS Login ID,Section,HW1 (101000),HW2 (101037),HW3 (101074),HW4 (101111),HW5 (101148),HW6 (101185),HW7 (101222),HW8 (101259),Quiz1 (101296),Quiz2 (101333),Quiz3 (101370),Quiz4 (101407),Exam1 (101444),Exam2a (101481),Exam2b (101518),Homework Current Score,Quizzes Current Score,Exams Current Score,Current Score
    Points Possible,,,,,10,10,10,10,10,10,10,10,20,20,20,20,100,100,100,(read only),(read only),(read only),(read only)
"Doesnt-Do-Hw, Dan",4000000,900000000S,dan.doesntdohw@uni.edu,CS 2810 Section 01,,,,,,,,,16.2,16.7,17,18.1,92.7,87,,,,,
"No-Show, Nadia",4000013,900007717S,nadia.noshow@uni.edu,CS 2810 Section 02,,,,,,,,,,,,,,,,,,,
"Abernathy, Absent",4000026,900015434S,absent.abernathy@uni.edu,CS 2810 Section 01,,,,,,,,,,,,,,,,,,,
"Stevens, Started-Late",4000039,900023151S,startedlate.stevens@uni.edu,CS 2810 Section 02,,,8.9,7.6,8.3,8.3,8.5,7.2,,16.2,17.2,16.5,81,68,,,,,
"Duncan, Dropped-Out",4000052,900030868S,droppedout.duncan@uni.edu,CS 2810 Section 01,6.9,7.6,7,7.8,,,,,15.1,16,,,76.3,,,,,,
"Quigley, Quit",4000065,900038585S,quit.quigley@uni.edu,CS 2810 Section 02,7.7,7.8,9.1,8.2,8.6,8.9,,,17,17.5,15.8,,82.9,,,,,,
"Larry, Late",4000078,900046302S,late.larry@uni.edu,CS 2810 Section 01,9.3,9.3,9.3,9.2,8.9,9.8,9.3,8.6,15,16.7,16.8,16.7,87.5,86.9,,,,,
"Tran, Tardy",4000091,900054019S,tardy.tran@uni.edu,CS 2810 Section 02,8,8.3,7.8,8.6,8.4,8.4,8.6,8.7,17.9,15.4,16.1,13.9,76.1,87.5,,,,,
"Park, Perfect",4000104,900061736S,perfect.park@uni.edu,CS 2810 Section 01,10,10,10,10,10,10,10,10,20,20,20,20,100,100,,,,,
"Morales, Median",4000117,900069453S,median.morales@uni.edu,CS 2810 Section 02,8.7,8.7,8.3,8,8.3,7.4,6.8,8.7,15.3,16,14.6,15.9,75.6,72.7,,,,,
