First Name,Last Name,SID,Email,Sections,HW1,HW1 - Max Points,HW1 - Submission Time,HW1 - Lateness (H:M:S),HW2,HW2 - Max Points,HW2 - Submission Time,HW2 - Lateness (H:M:S),HW3,HW3 - Max Points,HW3 - Submission Time,HW3 - Lateness (H:M:S),HW4,HW4 - Max Points,HW4 - Submission Time,HW4 - Lateness (H:M:S),HW5,HW5 - Max Points,HW5 - Submission Time,HW5 - Lateness (H:M:S),HW6,HW6 - Max Points,HW6 - Submission Time,HW6 - Lateness (H:M:S),HW7,HW7 - Max Points,HW7 - Submission Time,HW7 - Lateness (H:M:S),HW8,HW8 - Max Points,HW8 - Submission Time,HW8 - Lateness (H:M:S),Quiz1,Quiz1 - Max Points,Quiz1 - Submission Time,Quiz1 - Lateness (H:M:S),Quiz2,Quiz2 - Max Points,Quiz2 - Submission Time,Quiz2 - Lateness (H:M:S),Quiz3,Quiz3 - Max Points,Quiz3 - Submission Time,Quiz3 - Lateness (H:M:S),Quiz4,Quiz4 - Max Points,Quiz4 - Submission Time,Quiz4 - Lateness (H:M:S),Exam1,Exam1 - Max Points,Exam1 - Submission Time,Exam1 - Lateness (H:M:S),Exam2a,Exam2a - Max Points,Exam2a - Submission Time,Exam2a - Lateness (H:M:S),Exam2b,Exam2b - Max Points,Exam2b - Submission Time,Exam2b - Lateness (H:M:S)
Dan,Doesnt-Do-Hw,900000000S,dan.doesntdohw@uni.edu,CS 2810 Section 01,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,16.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.7,20,2026-04-21 23:14:07 -0400,00:00:00,17,20,2026-04-21 23:14:07 -0400,00:00:00,18.1,20,2026-04-21 23:14:07 -0400,00:00:00,92.7,100,2026-04-21 23:14:07 -0400,00:00:00,87,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Nadia,No-Show,900007717S,nadia.noshow@uni.edu,CS 2810 Section 02,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,20,,,,20,,,,20,,,,20,,,,100,,,,100,,,,100,,
Absent,Abernathy,900015434S,absent.abernathy@uni.edu,CS 2810 Section 01,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,,,,20,,,,20,,,,20,,,,20,,,,100,,,,100,,,,100,,
Started-Late,Stevens,900023151S,startedlate.stevens@uni.edu,CS 2810 Section 02,,10,,,,10,,,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8.5,10,2026-04-21 23:14:07 -0400,00:00:00,7.2,10,2026-04-21 23:14:07 -0400,00:00:00,,20,,,16.2,20,2026-04-21 23:14:07 -0400,00:00:00,17.2,20,2026-04-21 23:14:07 -0400,00:00:00,16.5,20,2026-04-21 23:14:07 -0400,00:00:00,81,100,2026-04-21 23:14:07 -0400,00:00:00,68,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Dropped-Out,Duncan,900030868S,droppedout.duncan@uni.edu,CS 2810 Section 01,6.9,10,2026-04-21 23:14:07 -0400,00:00:00,7.6,10,2026-04-21 23:14:07 -0400,00:00:00,7,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,,10,,,,10,,,,10,,,,10,,,15.1,20,2026-04-21 23:14:07 -0400,00:00:00,16,20,2026-04-21 23:14:07 -0400,00:00:00,,20,,,,20,,,76.3,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,,100,,
Quit,Quigley,900038585S,quit.quigley@uni.edu,CS 2810 Section 02,7.7,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,9.1,10,2026-04-21 23:14:07 -0400,00:00:00,8.2,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.9,10,2026-04-21 23:14:07 -0400,00:00:00,,10,,,,10,,,17,20,2026-04-21 23:14:07 -0400,00:00:00,17.5,20,2026-04-21 23:14:07 -0400,00:00:00,15.8,20,2026-04-21 23:14:07 -0400,00:00:00,,20,,,82.9,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,,,100,,
Late,Larry,900046302S,late.larry@uni.edu,CS 2810 Section 01,9.3,10,2026-04-21 23:14:07 -0400,47:00:00,9.3,10,2026-04-21 23:14:07 -0400,48:00:00,9.3,10,2026-04-21 23:14:07 -0400,47:00:00,9.2,10,2026-04-21 23:14:07 -0400,48:00:00,8.9,10,2026-04-21 23:14:07 -0400,48:00:00,9.8,10,2026-04-21 23:14:07 -0400,45:00:00,9.3,10,2026-04-21 23:14:07 -0400,45:00:00,8.6,10,2026-04-21 23:14:07 -0400,48:00:00,15,20,2026-04-21 23:14:07 -0400,48:00:00,16.7,20,2026-04-21 23:14:07 -0400,48:00:00,16.8,20,2026-04-21 23:14:07 -0400,47:00:00,16.7,20,2026-04-21 23:14:07 -0400,45:00:00,87.5,100,2026-04-21 23:14:07 -0400,45:00:00,86.9,100,2026-04-21 23:14:07 -0400,45:00:00,,100,,
Tardy,Tran,900054019S,tardy.tran@uni.edu,CS 2810 Section 02,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.4,10,2026-04-21 23:14:07 -0400,00:00:00,8.6,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,17.9,20,2026-04-21 23:14:07 -0400,23:00:00,15.4,20,2026-04-21 23:14:07 -0400,00:00:00,16.1,20,2026-04-21 23:14:07 -0400,00:00:00,13.9,20,2026-04-21 23:14:07 -0400,24:00:00,76.1,100,2026-04-21 23:14:07 -0400,00:00:00,87.5,100,2026-04-21 23:14:07 -0400,21:00:00,,100,,
Perfect,Park,900061736S,perfect.park@uni.edu,CS 2810 Section 01,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,10,10,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,20,20,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,100,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
Median,Morales,900069453S,median.morales@uni.edu,CS 2810 Section 02,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,8,10,2026-04-21 23:14:07 -0400,00:00:00,8.3,10,2026-04-21 23:14:07 -0400,00:00:00,7.4,10,2026-04-21 23:14:07 -0400,00:00:00,6.8,10,2026-04-21 23:14:07 -0400,00:00:00,8.7,10,2026-04-21 23:14:07 -0400,00:00:00,15.3,20,2026-04-21 23:14:07 -0400,00:00:00,16,20,2026-04-21 23:14:07 -0400,00:00:00,14.6,20,2026-04-21 23:14:07 -0400,00:00:00,15.9,20,2026-04-21 23:14:07 -0400,00:00:00,75.6,100,2026-04-21 23:14:07 -0400,00:00:00,72.7,100,2026-04-21 23:14:07 -0400,00:00:00,,100,,
